,movie,year,imdb,metascore,votes
0,Logan,2017,8.1,77,613835
1,Thor: Ragnarok,2017,7.9,74,549377
2,Guardians of the Galaxy Vol. 2,2017,7.6,67,537698
3,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,536499
4,Wonder Woman,2017,7.4,76,526147
5,Dunkirk,2017,7.9,94,515338
6,Spider-Man: Homecoming,2017,7.4,73,482758
7,Get Out,2017,7.7,85,458197
8,It,2017,7.3,69,432584
9,Blade Runner 2049,2017,8.0,81,428627
10,Baby Driver,2017,7.6,86,409635
11,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,397184
12,Justice League,2017,6.4,45,361211
13,The Shape of Water,2017,7.3,87,348751
14,John Wick: Chapter 2,2017,7.5,75,342228
15,Coco,2017,8.4,81,336678
16,Jumanji: Welcome to the Jungle,2017,6.9,58,299720
17,Beauty and the Beast,2017,7.1,65,258792
18,Kong: Skull Island,2017,6.6,62,257291
19,Kingsman: The Golden Circle,2017,6.7,44,255529
20,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,248527
21,Alien: Covenant,2017,6.4,65,243574
22,The Greatest Showman,2017,7.6,48,219712
23,War for the Planet of the Apes,2017,7.4,82,217525
24,Lady Bird,2017,7.4,94,216569
25,Murder on the Orient Express,2017,6.5,52,197766
26,Life,2017,6.6,54,197196
27,The Fate of the Furious,2017,6.7,56,195440
28,Call Me by Your Name,2017,7.9,93,189718
29,Wind River,2017,7.7,73,188931
30,Ghost in the Shell,2017,6.3,52,188659
31,King Arthur: Legend of the Sword,2017,6.7,41,182817
32,Mother!,2017,6.6,75,179398
33,The Hitman's Bodyguard,2017,6.9,47,177181
34,"I, Tonya",2017,7.5,77,167163
35,Atomic Blonde,2017,6.7,63,166420
36,The Mummy,2017,5.4,34,166145
37,Bright,2017,6.3,29,161021
38,Darkest Hour,2017,7.4,75,159476
39,Valerian and the City of a Thousand Planets,2017,6.5,51,154309
40,Baywatch,2017,5.5,37,152655
41,American Made,2017,7.1,65,149426
